radio,1 Sí,2 No,TOTAL
540981004,627,110,737
540981005,708,61,769
540981006,766,47,813
540981007,792,52,844
540981008,808,66,874
540981009,543,23,566
540981010,615,44,659
540981011,1028,139,1167
540981101,202,64,266
540981102,374,76,450
540981103,491,84,575
540981201,466,37,503
540981202,678,92,770
540981203,504,65,569
540981204,1061,219,1280
540981205,1156,260,1416
540981206,794,93,887
540981207,703,76,779
540981208,1044,126,1170
540981209,723,49,772
540981210,534,51,585
540981211,651,31,682
540981212,730,65,795
540981213,489,25,514
540981214,998,100,1098
541050101,233,32,265
541050102,134,11,145
541050103,566,104,670
541050104,217,46,263
541050105,246,57,303
541050106,16,3,19
541050107,142,30,172
541050108,260,48,308
541050109,13,4,17
541050110,34,6,40
541050111,25,1,26
541050112,246,22,268
541050113,624,61,685
541050201,313,54,367
541050202,295,43,338
541050203,303,44,347
541050204,228,30,258
541050205,27,0,27
541050206,20,8,28
541050207,371,49,420
541050208,277,48,325
541050209,1211,259,1470
541050210,77,14,91
541050211,68,5,73
541050212,151,33,184
541050213,679,92,771
541050214,664,69,733
541050215,503,74,577
541050216,679,61,740
541050217,783,67,850
541050218,1025,68,1093
541050219,679,35,714
541050220,587,72,659
541050221,705,88,793
541050222,653,63,716
541050223,564,56,620
541050301,123,15,138
541050302,778,98,876
541050303,134,19,153
541050304,16,9,25
541050305,156,40,196
541050306,189,35,224
541050307,266,44,310
541050308,139,30,169
541050401,675,73,748
541050402,596,90,686
541050403,356,53,409
541050404,202,25,227
541120101,1468,416,1884
541120102,2434,609,3043
541120103,965,236,1201
541120104,120,41,161
541120105,88,14,102
541120106,278,50,328
541120201,17,1,18
541120202,31,36,67
541120301,1,23,24
541120302,16,65,81
541120401,1,0,1
541120402,3,0,3
541120501,1042,129,1171
541120502,823,52,875
541120503,654,92,746
541120504,829,152,981
541120505,1052,192,1244
541120506,887,135,1022
541120507,565,97,662
541120508,1074,179,1253
541120509,787,152,939
541120510,1058,195,1253
541120511,971,118,1089
541120512,770,105,875
541120513,662,78,740
541120514,388,61,449
541120515,737,151,888
541120601,805,171,976
541120602,1641,324,1965
541120701,34,10,44
541120702,1139,326,1465
541120703,2084,414,2498
541120704,457,68,525
541190101,746,128,874
541190102,606,127,733
541190103,1171,199,1370
541190104,1087,145,1232
541190105,1828,278,2106
541190106,805,71,876
541190107,1532,169,1701
541190201,467,111,578
541190202,938,217,1155
541190203,773,158,931
541190204,411,41,452
541190301,211,40,251
541190302,1201,179,1380
541190303,780,90,870
541190304,408,36,444
541190305,480,62,542
541190306,221,30,251
541190307,738,59,797
541190401,422,67,489
541190402,860,107,967
541190403,1124,170,1294
541190501,323,36,359
541190502,1455,181,1636
541190503,733,79,812
541190504,494,78,572
541190505,147,23,170
541190506,319,51,370
541190507,426,35,461
541190508,1058,104,1162
541190601,133,17,150
541190602,534,76,610
541190603,348,38,386
580070101,0,0,0
580070102,243,52,295
580070103,535,63,598
580070104,613,49,662
580070105,235,24,259
580070201,216,65,281
580070202,77,10,87
580070203,242,38,280
580070204,65,19,84
580070205,558,136,694
580070301,269,28,297
580070302,1644,141,1785
580070303,1015,73,1088
580070304,989,89,1078
580070305,278,43,321
580140101,203,67,270
580140102,262,64,326
580140103,203,19,222
580140104,715,80,795
580140105,218,24,242
580140106,865,75,940
580140107,683,66,749
580140108,621,52,673
580140109,1555,146,1701
580140110,1023,145,1168
580140111,280,27,307
580140112,166,13,179
580140113,173,21,194
580140114,693,96,789
580140115,402,56,458
580140116,875,129,1004
580210101,63,17,80
580210102,90,16,106
580210103,159,57,216
580210104,111,11,122
580210105,181,44,225
580210106,20,11,31
580210107,104,34,138
580210108,36,8,44
580210109,105,43,148
580210110,84,13,97
580210111,51,5,56
580210112,670,87,757
580280101,69,21,90
580280102,31,12,43
580280103,112,27,139
580280104,140,40,180
580280105,51,15,66
580280106,32,6,38
580280107,891,73,964
580280108,380,53,433
580280109,710,82,792
580280110,439,39,478
580280115,78,9,87
580280116,189,23,212
580280117,745,49,794
580350101,43,14,57
580350102,240,20,260
580350103,28,2,30
580350104,56,2,58
580350105,51,9,60
580350106,58,9,67
580350107,50,9,59
580350108,46,10,56
580350109,23,1,24
580350201,372,44,416
580350202,449,54,503
580350203,18,0,18
580350204,814,82,896
580350205,396,75,471
580350206,91,4,95
580350207,372,62,434
580350208,315,36,351
580350209,581,98,679
580350210,563,92,655
580350211,303,38,341
580350212,301,46,347
580350213,308,51,359
580350214,365,63,428
580350215,562,81,643
580350216,141,9,150
580350301,708,68,776
580350302,765,58,823
580350303,812,54,866
580350304,1002,58,1060
580350305,1086,55,1141
580350306,965,62,1027
580350307,986,49,1035
580350308,1355,123,1478
580350309,865,41,906
580350310,658,28,686
580350311,332,42,374
580350312,389,12,401
580350313,854,41,895
580350314,188,8,196
580350315,489,58,547
580350316,864,53,917
580350401,532,14,546
580350402,730,26,756
580350403,388,23,411
580350404,1389,92,1481
580350405,813,74,887
580350406,720,28,748
580350407,610,15,625
580350408,807,35,842
580350409,822,52,874
580350410,938,56,994
580350411,796,53,849
580350412,936,57,993
580350413,479,32,511
580350414,867,55,922
580350415,725,34,759
580350416,665,45,710
580350417,605,17,622
580350418,545,16,561
580350419,871,34,905
580350420,754,40,794
580350421,523,27,550
580350501,384,11,395
580350502,674,28,702
580350503,764,28,792
580350504,292,8,300
580350505,431,18,449
580350506,499,12,511
580350507,444,11,455
580350508,355,9,364
580350509,463,8,471
580350510,517,15,532
580350511,607,13,620
580350512,505,9,514
580350513,548,17,565
580350514,431,9,440
580350515,434,31,465
580350516,614,21,635
580350517,400,5,405
580350518,277,2,279
580350519,340,13,353
580350520,283,9,292
580350521,422,9,431
580350522,438,19,457
580350523,390,10,400
580350601,981,42,1023
580350602,436,18,454
580350603,482,22,504
580350604,500,13,513
580350605,616,15,631
580350606,549,33,582
580350607,622,55,677
580350608,933,34,967
580350609,701,25,726
580350610,506,34,540
580350611,547,23,570
580350612,571,15,586
580350613,553,25,578
580350614,594,24,618
580350615,464,16,480
580350616,403,21,424
580350617,517,24,541
580350618,169,4,173
580350701,131,6,137
580350702,465,15,480
580350703,788,37,825
580350704,1247,74,1321
580350705,876,68,944
580350706,1035,88,1123
580350707,973,79,1052
580350708,1188,111,1299
580350709,969,74,1043
580350710,922,75,997
580350711,1109,95,1204
580350712,1206,75,1281
580350713,773,43,816
580350714,714,65,779
580350715,869,65,934
580350801,508,73,581
580350802,1406,117,1523
580350803,1179,99,1278
580350804,644,68,712
580350805,323,5,328
580350806,1069,71,1140
580350807,998,102,1100
580350808,571,29,600
580350809,911,45,956
580350810,1142,71,1213
580350811,1009,56,1065
580350812,684,49,733
580350813,792,64,856
580350814,1290,115,1405
580350815,832,70,902
580350816,1141,110,1251
580350817,948,48,996
580350818,608,22,630
580350819,734,50,784
580350820,805,50,855
580350821,627,74,701
580350822,1319,113,1432
580350823,965,76,1041
580350824,500,69,569
580350825,763,62,825
580350826,788,54,842
580350901,643,85,728
580350902,933,59,992
580350903,1098,45,1143
580350904,1217,69,1286
580350905,751,52,803
580350906,862,89,951
580350907,1041,58,1099
580350908,1023,49,1072
580350909,1158,60,1218
580350910,958,61,1019
580350911,992,53,1045
580350912,971,62,1033
580350913,1300,82,1382
580350914,1012,82,1094
580350915,776,65,841
580350916,889,61,950
580350917,1004,75,1079
580350918,1004,92,1096
580351001,631,23,654
580351002,867,52,919
580351003,627,34,661
580351004,744,31,775
580351005,1082,97,1179
580351006,1282,40,1322
580351007,665,30,695
580351008,858,45,903
580351009,874,58,932
580351010,489,44,533
580351011,723,39,762
580351012,949,77,1026
580351013,1536,102,1638
580351014,595,52,647
580351015,858,58,916
580351016,704,34,738
580351017,686,35,721
580351018,466,25,491
580351101,709,46,755
580351102,670,36,706
580351103,1157,118,1275
580351104,1150,77,1227
580351105,587,40,627
580351106,961,74,1035
580351107,1078,56,1134
580351108,622,41,663
580351109,301,22,323
580351110,629,48,677
580351111,27,0,27
580351112,874,111,985
580351113,947,91,1038
580351114,796,78,874
580351115,919,78,997
580351116,540,19,559
580351117,1283,137,1420
580351118,705,47,752
580351119,645,19,664
580351120,512,35,547
580351121,745,33,778
580351122,872,27,899
580351123,610,50,660
580351124,374,40,414
580351125,463,35,498
580351126,461,48,509
580351201,730,34,764
580351202,376,16,392
580351203,550,36,586
580351204,1072,90,1162
580351205,1200,115,1315
580351206,712,34,746
580351207,612,39,651
580351208,650,38,688
580351209,905,47,952
580351210,631,48,679
580351211,433,30,463
580351212,591,38,629
580351213,636,43,679
580351214,610,55,665
580351215,832,53,885
580351216,716,53,769
580351301,559,21,580
580351302,388,19,407
580351303,263,6,269
580351304,352,21,373
580351305,384,19,403
580351306,683,26,709
580351307,638,26,664
580351308,458,19,477
580351309,770,46,816
580351310,1013,66,1079
580351311,640,37,677
580351312,777,30,807
580351313,1059,58,1117
580351314,659,44,703
580351315,892,49,941
580351316,862,56,918
580351401,486,42,528
580351402,207,5,212
580351403,908,47,955
580351404,822,69,891
580351405,740,35,775
580351406,436,18,454
580351407,844,44,888
580351408,807,57,864
580351409,786,62,848
580351410,1148,63,1211
580351411,1395,161,1556
580351412,933,66,999
580351413,1059,54,1113
580351414,1170,55,1225
580351415,617,33,650
580351416,422,25,447
580351417,981,98,1079
580351418,1189,95,1284
580351419,914,84,998
580351420,129,6,135
580351421,580,79,659
580351422,663,30,693
580351501,1055,68,1123
580351502,563,43,606
580351503,885,53,938
580351504,723,45,768
580351505,1154,75,1229
580351506,1134,68,1202
580351507,966,94,1060
580351508,848,51,899
580351509,888,47,935
580351510,1030,65,1095
580351511,912,60,972
580351512,689,32,721
580351513,763,41,804
580351514,885,48,933
580351515,563,24,587
580351601,504,57,561
580351602,740,73,813
580351603,174,20,194
580351604,505,35,540
580351605,800,91,891
580351606,521,38,559
580351607,321,35,356
580351608,405,32,437
580351609,355,58,413
580351610,565,87,652
580351611,817,102,919
580351612,679,98,777
580351613,459,71,530
580351614,374,36,410
580351615,474,63,537
580351616,1125,101,1226
580351617,110,11,121
580351618,190,19,209
580351619,358,27,385
580351620,209,11,220
580351701,795,41,836
580351702,629,35,664
580351703,388,25,413
580351704,802,45,847
580351705,283,31,314
580351706,595,32,627
580351707,908,59,967
580351708,974,78,1052
580351709,1039,79,1118
580351710,961,81,1042
580351711,1096,82,1178
580351801,5,1,6
580351802,804,57,861
580351803,723,55,778
580351804,518,29,547
580351805,878,78,956
580351806,597,38,635
580351807,917,65,982
580351808,805,52,857
580351809,883,51,934
580351810,870,56,926
580351811,859,120,979
580351812,1079,119,1198
580351813,765,79,844
580351814,365,31,396
580351815,846,48,894
580351816,859,31,890
580351817,557,68,625
580351818,756,37,793
580351819,494,38,532
580351820,642,51,693
580351821,701,58,759
580351822,577,47,624
580351823,730,54,784
580351824,660,72,732
580351825,708,44,752
580351826,756,92,848
580351901,542,32,574
580351902,917,86,1003
580351903,753,50,803
580351904,827,69,896
580351905,981,45,1026
580351906,850,50,900
580351907,786,51,837
580351908,1036,65,1101
580351909,1043,73,1116
580351910,728,69,797
580351911,1045,122,1167
580351912,273,27,300
580351913,611,66,677
580351914,487,31,518
580352001,280,31,311
580352002,630,40,670
580352003,122,9,131
580352004,283,13,296
580352005,78,7,85
580352006,240,21,261
580352007,1228,138,1366
580352008,1237,113,1350
580352009,716,46,762
580352010,884,66,950
580352011,955,75,1030
580352012,1489,91,1580
580352101,290,48,338
580352102,912,51,963
580352103,841,59,900
580352104,1119,76,1195
580352105,688,44,732
580352106,722,44,766
580352107,873,38,911
580352108,936,60,996
580352109,830,72,902
580352110,930,80,1010
580352111,853,82,935
580352112,613,42,655
580352113,346,47,393
580352114,745,84,829
580352115,578,36,614
580352116,615,67,682
580352201,465,73,538
580352202,669,40,709
580352203,105,6,111
580352204,47,6,53
580352205,873,119,992
580352206,828,63,891
580352207,749,63,812
580352208,912,87,999
580352209,697,58,755
580352210,729,46,775
580352211,1166,95,1261
580352212,408,46,454
580352213,729,101,830
580352214,754,71,825
580352215,447,29,476
580352216,498,45,543
580352217,1088,134,1222
580352218,409,52,461
580352219,905,97,1002
580352220,777,72,849
580352221,744,81,825
580352301,147,16,163
580352302,845,46,891
580352303,625,42,667
580352304,731,27,758
580352305,577,37,614
580352306,466,28,494
580352307,753,29,782
580352308,758,34,792
580352309,909,54,963
580352310,693,42,735
580352311,832,40,872
580352312,741,54,795
580352313,825,37,862
580352314,782,48,830
580352315,613,55,668
580352316,667,71,738
580352317,787,54,841
580352318,511,40,551
580352319,1035,95,1130
580352320,603,31,634
580352321,564,48,612
580352322,10,3,13
580352323,681,57,738
580352324,584,71,655
580352325,640,41,681
580352326,645,57,702
580352327,582,47,629
580352401,776,103,879
580352402,804,82,886
580352403,1526,142,1668
580352404,1275,138,1413
580352405,888,87,975
580352406,758,114,872
580352407,742,109,851
580352408,778,138,916
580352409,691,79,770
580352410,992,102,1094
580352411,1249,72,1321
580352412,1060,64,1124
580352413,677,85,762
580352414,595,55,650
580352501,1180,81,1261
580352502,1066,87,1153
580352503,1088,102,1190
580352504,699,27,726
580352505,523,31,554
580352506,514,29,543
580352507,668,66,734
580352508,466,33,499
580352509,595,26,621
580352510,927,41,968
580352511,730,64,794
580352512,800,78,878
580352513,921,86,1007
580352514,1081,76,1157
580352515,796,62,858
580352516,841,85,926
580352517,1020,78,1098
580420101,235,63,298
580420102,158,36,194
580420103,204,41,245
580420104,147,29,176
580420105,310,25,335
580420106,366,53,419
580420107,70,19,89
580420108,89,24,113
580420109,151,18,169
580420201,549,80,629
580420202,691,89,780
580420203,686,54,740
580420204,512,44,556
580420205,607,41,648
580420206,646,47,693
580420207,747,66,813
580420208,767,65,832
580420209,496,51,547
580420210,530,36,566
580420211,1026,89,1115
580420212,609,71,680
580420213,521,63,584
580420214,833,43,876
580420215,579,43,622
580420216,547,41,588
580420217,1057,70,1127
580490101,17,0,17
580490102,114,31,145
580490103,34,3,37
580490201,52,18,70
580490202,351,128,479
580490203,160,33,193
580490204,201,70,271
580490205,289,66,355
580490301,356,12,368
580490302,53,4,57
580490401,838,53,891
580490402,425,54,479
580490403,891,77,968
580490404,759,58,817
580490405,562,36,598
580490406,690,42,732
580490407,1284,132,1416
580490408,841,75,916
580490409,771,54,825
580490410,542,32,574
580490411,650,83,733
580490412,609,74,683
580490413,972,74,1046
580490414,601,58,659
580490415,489,65,554
580560101,204,36,240
580560102,34,11,45
580560104,23,4,27
580560105,325,40,365
580560201,85,5,90
580560202,61,9,70
580560203,48,1,49
580560204,49,3,52
580560205,82,3,85
580560206,100,2,102
580560301,500,31,531
580560302,891,105,996
580560303,896,61,957
580560304,876,68,944
580560305,976,71,1047
580560306,967,74,1041
580560307,572,48,620
580560308,1049,110,1159
580560309,532,21,553
580560310,361,33,394
580560401,626,44,670
580560402,685,62,747
580560403,687,56,743
580560404,526,34,560
580560405,1335,88,1423
580560406,886,52,938
580560407,1215,124,1339
580560408,801,95,896
580560409,547,35,582
580560410,444,31,475
580560411,167,14,181
580560501,60,3,63
580560502,519,17,536
580560503,293,12,305
580560504,452,31,483
580560505,972,95,1067
580560506,795,68,863
580560507,1095,92,1187
580560508,761,74,835
580560509,768,44,812
580560510,465,29,494
580560511,543,22,565
580560512,491,26,517
580560513,503,22,525
580560514,447,13,460
580560515,467,16,483
580560516,430,17,447
580560517,484,25,509
580630101,96,18,114
580630102,199,45,244
580630103,52,17,69
580630104,434,92,526
580630105,384,26,410
580630106,16,3,19
580630107,51,5,56
580630108,60,23,83
580630109,238,44,282
580630110,114,11,125
580630111,1741,147,1888
580630112,1346,188,1534
580630113,1045,108,1153
580700101,69,5,74
580700102,149,6,155
580700103,895,56,951
580700104,583,39,622
580700105,1146,89,1235
580700106,670,46,716
580700107,1326,115,1441
580700108,584,38,622
580700109,563,42,605
580700110,919,45,964
580700111,847,90,937
580700112,435,27,462
580700113,853,56,909
580700114,877,76,953
580700201,118,10,128
580700202,141,9,150
580700203,55,5,60
580700204,313,22,335
580770101,0,0,0
580770102,360,77,437
580770103,467,92,559
580770104,270,31,301
580770105,388,52,440
580770106,733,58,791
580770201,347,57,404
580770202,138,35,173
580770203,228,38,266
580770204,255,34,289
580770205,634,68,702
580770206,230,33,263
580770207,633,61,694
580770208,1134,96,1230
580770210,244,39,283
580840101,20,6,26
580840102,616,72,688
580840103,224,24,248
580840104,73,16,89
580840105,416,65,481
580840106,763,68,831
580840107,235,36,271
580840108,287,32,319
580840109,327,26,353
580840110,25,4,29
580840111,384,66,450
580840112,39,8,47
580840113,8,1,9
580840114,30,3,33
580840115,1,0,1
580840116,536,36,572
580910101,43,21,64
580910102,162,50,212
580910103,643,100,743
580910104,60,9,69
580910105,136,4,140
580910106,322,69,391
580910107,1175,129,1304
580910108,873,103,976
580910109,93,37,130
580910201,161,3,164
580910202,21,2,23
580910203,21,3,24
580910204,17,0,17
580910205,139,24,163
580910301,97,31,128
580910302,486,59,545
580910303,845,112,957
580910304,1271,129,1400
580910305,850,60,910
580910306,472,25,497
580910307,301,22,323
580910308,466,34,500
580910309,540,48,588
580910310,441,34,475
580910311,781,113,894
580910312,490,37,527
580910313,483,31,514
580910314,416,40,456
580910315,406,34,440
580910316,383,29,412
580910317,625,54,679
580910318,908,68,976
580910319,669,75,744
580910320,681,77,758
580910321,693,94,787
580910322,700,72,772
580910323,750,87,837
580910324,895,98,993
580910325,619,63,682
580910326,416,54,470
580910327,633,68,701
580980101,218,13,231
580980102,7,0,7
580980103,1250,125,1375
580980104,1407,149,1556
580980105,209,37,246
580980201,69,11,80
580980202,364,50,414
580980203,30,6,36
580980204,143,17,160
580980205,178,19,197
581050101,137,17,154
581050102,375,41,416
581050103,697,95,792
581050104,831,71,902
581050105,708,83,791
581050106,1491,133,1624
581050201,8,1,9
581050202,31,5,36
581050203,40,5,45
581050204,264,24,288
581050205,69,10,79
581050206,24,4,28
581050207,166,26,192
581050208,51,5,56
581050209,157,18,175
581050210,73,14,87
581050211,682,62,744
581050212,38,13,51
581050213,65,27,92
581050214,53,13,66
581120101,206,42,248
581120102,51,13,64
581120103,318,31,349
581120104,89,16,105
581120105,158,33,191
581120106,80,17,97
581120107,94,18,112
581120108,61,17,78
581120109,105,13,118
581120201,205,26,231
581120202,273,55,328
581120203,62,19,81
581120205,587,76,663
581120206,641,66,707
581120207,310,29,339
581120208,711,68,779
581120301,414,56,470
581120302,1240,132,1372
581120303,1353,127,1480
581120304,1303,80,1383
581120305,1059,98,1157
581120306,778,66,844
581120307,1092,82,1174
581120308,1228,109,1337
581120309,844,63,907
581120310,985,78,1063
581120311,686,74,760
581120312,722,43,765
581120313,562,34,596
581120314,698,58,756
581120315,382,15,397
581120316,589,58,647
581120401,454,75,529
581120402,707,114,821
581120403,110,5,115
581120404,1122,96,1218
581120405,726,79,805
581120406,433,57,490
581120407,520,39,559
581120408,884,69,953
581120409,365,28,393
581120410,450,29,479
581120411,492,44,536
581120412,547,50,597
581120413,1049,86,1135
581120414,321,44,365
581120415,891,100,991
581120416,347,26,373
581120417,43,2,45
581120418,1405,86,1491
581120419,893,103,996
581120420,783,46,829
581120421,1127,65,1192
620070101,30,6,36
620070201,54,9,63
620070301,38,4,42
620070302,463,23,486
620070303,304,31,335
620070401,42,5,47
620070501,526,40,566
620070502,427,20,447
620070503,774,44,818
620070504,379,14,393
620070505,405,13,418
620070506,471,14,485
620070507,485,23,508
620070508,448,17,465
620070509,365,30,395
620070510,863,45,908
620070511,501,21,522
620070601,194,5,199
620070602,639,56,695
620070603,558,56,614
620070604,783,23,806
620070605,10,1,11
620070606,120,10,130
620070607,462,42,504
620070608,1124,144,1268
620070609,1015,30,1045
620070610,650,100,750
620070611,468,81,549
620070612,960,63,1023
620070613,308,38,346
620070614,314,70,384
620070701,496,23,519
620070702,638,48,686
620070703,518,48,566
620070704,952,114,1066
620070705,983,71,1054
620070706,570,76,646
620070707,1249,93,1342
620070708,1322,65,1387
620070709,382,23,405
620070710,161,14,175
620070711,1936,106,2042
620070712,696,60,756
620070713,799,67,866
620070801,417,24,441
620070802,386,16,402
620070803,67,7,74
620070804,835,69,904
620070805,1015,79,1094
620070806,1166,81,1247
620070807,581,44,625
620070808,624,53,677
620070809,425,21,446
620070810,779,62,841
620070811,774,84,858
620070812,465,45,510
620070813,568,45,613
620070814,497,30,527
620070815,420,27,447
620070816,374,32,406
620070817,374,22,396
620070818,431,34,465
620070901,65,4,69
620070902,211,10,221
620070903,57,0,57
620070904,110,4,114
620070905,77,4,81
620070906,177,6,183
620071001,407,15,422
620071002,431,9,440
620071003,557,31,588
620071004,413,9,422
620071005,496,18,514
620071006,459,7,466
620071007,582,19,601
620071008,413,11,424
620071009,388,10,398
620071010,365,17,382
620071011,361,16,377
620071012,541,44,585
620071013,588,50,638
620071101,1046,73,1119
620071102,517,18,535
620071103,986,90,1076
620071104,982,49,1031
620071105,361,36,397
620071106,588,45,633
620071107,639,63,702
620071108,677,91,768
620071109,809,65,874
620071110,557,72,629
620071111,984,132,1116
620071112,1020,148,1168
620140101,106,9,115
620140102,729,68,797
620140103,898,79,977
620140104,1033,86,1119
620140105,882,80,962
620140106,63,4,67
620140107,0,0,0
620140108,596,79,675
620140109,157,18,175
620140110,799,65,864
620140111,1244,87,1331
620140112,559,45,604
620140201,727,74,801
620140202,504,38,542
620140203,659,33,692
620140204,827,58,885
620140301,1100,62,1162
620140302,420,45,465
620140303,725,62,787
620140304,1029,90,1119
620140401,1057,127,1184
620140402,827,32,859
620140403,663,34,697
620140404,782,71,853
620140405,580,46,626
620140406,612,50,662
620140407,607,28,635
620140408,1120,91,1211
620140409,486,16,502
620140410,803,71,874
620140501,38,3,41
620140601,704,47,751
620140602,717,37,754
620140603,599,47,646
620140604,575,83,658
620140605,631,71,702
620140606,480,44,524
620140607,756,59,815
620140608,725,84,809
620140609,707,72,779
620140701,299,19,318
620140801,69,22,91
620140901,521,59,580
620140902,328,34,362
620140903,35,4,39
620141001,172,10,182
620141002,466,32,498
620141003,555,82,637
620141101,411,53,464
620141102,867,73,940
620141103,501,53,554
620210101,490,26,516
620210102,1007,70,1077
620210103,297,16,313
620210104,577,44,621
620210105,293,12,305
620210106,584,24,608
620210107,553,25,578
620210108,528,30,558
620210109,447,23,470
620210110,620,55,675
620210111,691,40,731
620210112,360,17,377
620210201,245,17,262
620210202,408,27,435
620210203,910,100,1010
620210204,737,85,822
620210205,855,67,922
620210206,1045,77,1122
620210207,641,30,671
620210208,886,50,936
620210209,588,36,624
620210210,754,49,803
620210211,970,65,1035
620210212,549,73,622
620210301,973,19,992
620210302,220,4,224
620210303,314,9,323
620210304,822,7,829
620210305,543,6,549
620210306,204,6,210
620210307,211,7,218
620210308,278,8,286
620210309,563,13,576
620210310,594,13,607
620210311,356,9,365
620210312,375,14,389
620210313,451,13,464
620210401,131,6,137
620210402,203,11,214
620210403,54,4,58
620210501,681,45,726
620210502,284,20,304
620210503,101,6,107
620210601,290,27,317
620210602,449,37,486
620210603,332,13,345
620210604,537,23,560
620210605,344,19,363
620210606,480,21,501
620210607,600,45,645
620210608,812,79,891
620210701,610,52,662
620210702,300,25,325
620210703,304,18,322
620210704,338,45,383
620210705,748,72,820
620210706,888,86,974
620210707,1128,115,1243
620210708,325,24,349
620210709,832,88,920
620210710,380,17,397
620210801,480,23,503
620210802,414,22,436
620210803,641,25,666
620210804,399,25,424
620210805,738,54,792
620210806,595,48,643
620210807,638,47,685
620210808,688,55,743
620210809,987,83,1070
620210810,1042,76,1118
620210901,542,21,563
620210902,728,27,755
620210903,1001,69,1070
620210904,1027,61,1088
620210905,811,51,862
620210906,492,29,521
620210907,580,19,599
620210908,1054,63,1117
620210909,559,33,592
620211001,791,52,843
620211002,843,57,900
620211003,693,60,753
620211004,563,44,607
620211005,1040,96,1136
620211006,691,72,763
620211007,555,34,589
620211008,630,46,676
620211009,661,50,711
620211010,618,49,667
620211011,570,42,612
620211101,608,35,643
620211102,552,26,578
620211103,738,39,777
620211104,650,46,696
620211105,584,37,621
620211106,656,32,688
620211107,471,27,498
620211108,428,27,455
620211109,539,34,573
620211110,529,30,559
620211111,747,74,821
620211112,890,63,953
620211113,587,25,612
620211114,411,23,434
620211201,565,33,598
620211202,495,18,513
620211203,410,16,426
620211204,363,21,384
620211205,353,16,369
620211206,566,31,597
620211207,509,43,552
620211208,1029,57,1086
620211209,76,4,80
620211301,437,13,450
620211302,660,44,704
620211303,606,24,630
620211304,524,26,550
620211305,615,18,633
620211306,563,18,581
620211307,602,20,622
620211308,557,25,582
620211309,329,19,348
620211310,536,25,561
620211311,627,23,650
620211401,558,39,597
620211402,1084,83,1167
620211403,1044,123,1167
620211404,1076,107,1183
620211405,1207,101,1308
620211406,549,53,602
620211407,513,64,577
620211408,883,103,986
620211409,1109,91,1200
620211410,1042,65,1107
620211411,987,66,1053
620211412,653,22,675
620211413,569,23,592
620211414,653,40,693
620211415,697,34,731
620211416,811,95,906
620211417,624,39,663
620211418,109,13,122
620211501,637,15,652
620211502,570,15,585
620211503,603,24,627
620211504,286,13,299
620211505,355,12,367
620211506,699,30,729
620211507,344,8,352
620211508,363,11,374
620211509,316,10,326
620211510,488,10,498
620211511,415,15,430
620211512,466,23,489
620211601,821,47,868
620211602,710,41,751
620211603,1058,61,1119
620211604,871,47,918
620211605,652,45,697
620211606,934,72,1006
620211607,999,72,1071
620211608,1079,56,1135
620211609,736,49,785
620211701,714,37,751
620211702,687,38,725
620211703,523,36,559
620211704,558,90,648
620211705,930,114,1044
620211706,773,93,866
620211707,782,63,845
620211708,988,58,1046
620211709,728,43,771
620211710,689,92,781
620211801,627,37,664
620211802,630,37,667
620211803,581,35,616
620211804,450,29,479
620211805,553,14,567
620211806,481,33,514
620211807,579,27,606
620211808,454,26,480
620211809,857,47,904
620211901,484,26,510
620211902,628,45,673
620211903,628,34,662
620211904,697,55,752
620211905,524,38,562
620211906,431,23,454
620211907,272,13,285
620211908,909,101,1010
620211909,436,38,474
620211910,538,49,587
620211911,758,68,826
620211912,620,76,696
620280101,14,0,14
620280102,98,5,103
620280103,149,20,169
620280104,673,61,734
620280105,334,37,371
620280201,57,5,62
620280301,42,1,43
620280401,893,79,972
620280402,811,51,862
620280403,502,29,531
620280404,878,85,963
620280405,533,55,588
620280406,822,52,874
620280407,382,46,428
620350101,456,42,498
620350102,408,67,475
620350103,192,45,237
620350104,243,49,292
620350105,142,23,165
620350106,185,14,199
620350107,95,47,142
620350108,33,9,42
620350109,70,14,84
620350110,613,70,683
620350111,397,239,636
620350112,380,32,412
620350113,486,43,529
620350114,533,65,598
620420101,58,8,66
620420102,143,26,169
620420103,371,45,416
620420104,51,13,64
620420201,144,6,150
620420202,443,73,516
620420301,27,9,36
620420401,1099,99,1198
620420402,707,63,770
620420403,509,64,573
620420404,672,70,742
620420405,891,57,948
620420406,587,52,639
620420407,213,27,240
620420408,422,51,473
620420409,283,35,318
620420410,668,51,719
620420411,564,59,623
620420412,732,79,811
620420501,397,28,425
620420502,402,33,435
620420503,137,11,148
620420504,611,56,667
620420505,522,49,571
620420506,760,98,858
620420601,903,54,957
620420602,1020,79,1099
620420603,478,51,529
620420604,602,43,645
620420605,660,73,733
620420606,580,66,646
620420607,799,56,855
620420608,449,20,469
620420609,634,26,660
620420610,567,19,586
620420611,483,14,497
620420612,408,16,424
620420613,511,40,551
620420614,517,43,560
620420615,805,60,865
620420701,1202,99,1301
620420702,1273,159,1432
620420703,429,42,471
620420704,617,68,685
620420705,1157,111,1268
620420706,340,48,388
620420707,623,51,674
620420708,497,43,540
620420709,558,44,602
620420710,635,75,710
620420711,595,54,649
620420712,288,43,331
620420713,882,149,1031
620420714,1119,143,1262
620420715,685,60,745
620420716,633,52,685
620420717,377,51,428
620420801,699,50,749
620420802,751,34,785
620420803,580,33,613
620420804,468,16,484
