radio,1 Urbano,2 Rural agrupado,3 Rural disperso,TOTAL
020041203,337,0,0,337
020041204,266,0,0,266
020041205,256,0,0,256
020041206,238,0,0,238
020041207,145,0,0,145
020041208,255,0,0,255
020041209,388,0,0,388
020041210,299,0,0,299
020041211,296,0,0,296
020041212,270,0,0,270
020041301,499,0,0,499
020041302,300,0,0,300
020041303,298,0,0,298
020041304,274,0,0,274
020041305,462,0,0,462
020041306,201,0,0,201
020041307,530,0,0,530
020041308,196,0,0,196
020041309,209,0,0,209
020041310,255,0,0,255
020041311,545,0,0,545
020041401,340,0,0,340
020041402,313,0,0,313
020041403,360,0,0,360
020041404,654,0,0,654
020041405,344,0,0,344
020041406,297,0,0,297
020041407,335,0,0,335
020041408,440,0,0,440
020041409,363,0,0,363
020041501,328,0,0,328
020041502,793,0,0,793
020041503,579,0,0,579
020041504,352,0,0,352
020041505,258,0,0,258
020041506,315,0,0,315
020041507,317,0,0,317
020041508,340,0,0,340
020041509,290,0,0,290
020041510,204,0,0,204
020041601,290,0,0,290
020041602,1405,0,0,1405
020041603,470,0,0,470
020041604,299,0,0,299
020041605,462,0,0,462
020041606,289,0,0,289
020041607,186,0,0,186
020041608,258,0,0,258
020041609,514,0,0,514
020041610,317,0,0,317
020041701,249,0,0,249
020041702,297,0,0,297
020041703,261,0,0,261
020041704,340,0,0,340
020041705,394,0,0,394
020041706,342,0,0,342
020041707,303,0,0,303
020041708,409,0,0,409
020041709,438,0,0,438
020041710,301,0,0,301
020041801,45,0,0,45
020041901,287,0,0,287
020041902,295,0,0,295
020041903,351,0,0,351
020041904,375,0,0,375
020041905,312,0,0,312
020041906,377,0,0,377
020041907,272,0,0,272
020041908,277,0,0,277
020041909,339,0,0,339
020041910,290,0,0,290
020042001,321,0,0,321
020042002,286,0,0,286
020042003,285,0,0,285
020042004,239,0,0,239
020042005,250,0,0,250
020042006,332,0,0,332
020042007,324,0,0,324
020042008,266,0,0,266
020042009,320,0,0,320
020042010,390,0,0,390
020042011,376,0,0,376
020042012,548,0,0,548
020042101,259,0,0,259
020042102,273,0,0,273
020042103,232,0,0,232
020042104,257,0,0,257
020042105,271,0,0,271
020042106,309,0,0,309
020042107,282,0,0,282
020042108,300,0,0,300
020042109,250,0,0,250
020042110,231,0,0,231
020042111,287,0,0,287
020042112,201,0,0,201
020042201,317,0,0,317
020042202,350,0,0,350
020042203,410,0,0,410
020042204,566,0,0,566
020042205,331,0,0,331
020042206,293,0,0,293
020042207,483,0,0,483
020042208,426,0,0,426
020042209,268,0,0,268
020042210,294,0,0,294
020042211,353,0,0,353
020042212,255,0,0,255
020042301,295,0,0,295
020042302,340,0,0,340
020042303,300,0,0,300
020042304,312,0,0,312
020042305,244,0,0,244
020042306,413,0,0,413
020042307,267,0,0,267
020042308,347,0,0,347
020042309,129,0,0,129
020042310,253,0,0,253
020042311,197,0,0,197
020042312,225,0,0,225
020042401,375,0,0,375
020042402,537,0,0,537
020042403,329,0,0,329
020042404,483,0,0,483
020042405,207,0,0,207
020042406,347,0,0,347
020042501,608,0,0,608
020042502,485,0,0,485
020042503,841,0,0,841
020042504,469,0,0,469
020042601,131,0,0,131
020042602,252,0,0,252
020042603,210,0,0,210
020050101,321,0,0,321
020050102,475,0,0,475
020050103,448,0,0,448
020050104,396,0,0,396
020050105,646,0,0,646
020050106,307,0,0,307
020050107,376,0,0,376
020050108,374,0,0,374
020050109,428,0,0,428
020050110,382,0,0,382
020050201,438,0,0,438
020050202,334,0,0,334
020050203,412,0,0,412
020050204,565,0,0,565
020050205,287,0,0,287
020050206,300,0,0,300
020050207,299,0,0,299
020050208,613,0,0,613
020050209,401,0,0,401
020050210,359,0,0,359
020050211,486,0,0,486
020050301,400,0,0,400
020050302,672,0,0,672
020050303,156,0,0,156
020050304,293,0,0,293
020050305,401,0,0,401
020050306,367,0,0,367
020050307,414,0,0,414
020050308,221,0,0,221
020050309,401,0,0,401
020050310,284,0,0,284
020050311,507,0,0,507
020050401,498,0,0,498
020050402,457,0,0,457
020050403,369,0,0,369
020050404,372,0,0,372
020050405,409,0,0,409
020050406,658,0,0,658
020050407,322,0,0,322
020050408,597,0,0,597
020050409,440,0,0,440
020050501,414,0,0,414
020050502,716,0,0,716
020050503,441,0,0,441
020050504,386,0,0,386
020050505,307,0,0,307
020050506,393,0,0,393
020050507,507,0,0,507
020050508,427,0,0,427
020050601,361,0,0,361
020050602,507,0,0,507
020050603,553,0,0,553
020050604,824,0,0,824
020050605,692,0,0,692
020050606,473,0,0,473
020050607,535,0,0,535
020050608,491,0,0,491
020050701,659,0,0,659
020050702,237,0,0,237
020050703,343,0,0,343
020050704,739,0,0,739
020050705,824,0,0,824
020050706,362,0,0,362
020050707,262,0,0,262
020050708,475,0,0,475
020050801,656,0,0,656
020050802,436,0,0,436
020050803,634,0,0,634
020050804,552,0,0,552
020050805,220,0,0,220
020050806,474,0,0,474
020050807,496,0,0,496
020050808,449,0,0,449
020050809,401,0,0,401
020050901,569,0,0,569
020050902,366,0,0,366
020050903,341,0,0,341
020050904,297,0,0,297
020050905,335,0,0,335
020050906,311,0,0,311
020050907,307,0,0,307
020050908,549,0,0,549
020050909,524,0,0,524
020050910,390,0,0,390
020051001,636,0,0,636
020051002,694,0,0,694
020051003,190,0,0,190
020051004,290,0,0,290
020051005,360,0,0,360
020051006,352,0,0,352
020051007,654,0,0,654
020051008,393,0,0,393
020051009,427,0,0,427
020051010,329,0,0,329
020051101,679,0,0,679
020051102,463,0,0,463
020051103,323,0,0,323
020051104,442,0,0,442
020051105,438,0,0,438
020051106,430,0,0,430
020051107,560,0,0,560
020051108,421,0,0,421
020051109,569,0,0,569
020051110,395,0,0,395
020051201,323,0,0,323
020051202,1038,0,0,1038
020051203,526,0,0,526
020051204,407,0,0,407
020051205,278,0,0,278
020051206,908,0,0,908
020051207,388,0,0,388
020051301,518,0,0,518
020051302,432,0,0,432
020051303,444,0,0,444
020051304,365,0,0,365
020051305,384,0,0,384
020051306,454,0,0,454
020051307,419,0,0,419
